Region,District,Class,Latitude,Longitude,Poverty_Incidence_pct,Poverty_Intensity_pct,Illiteracy_Rate_pct,Uninsured_Rate_pct,Unemployment_Rate_pct,Youth_Dependency_Ratio,Total_Pop,Condom_Use_Women_pct,Condom_Use_Men_pct,HighRisk_Sex_Women_pct,HighRisk_Sex_Men_pct,HIV_Awareness_Women_pct,HIV_Awareness_Men_pct,PMTCT_Knowledge_Women_pct,PMTCT_Knowledge_Men_pct,VCT_Women_pct,VCT_Men_pct,VCT_12mo_Women_pct,Refuse_Sex_Women_pct,Ask_Condom_STI_Women_pct,No_Insurance_Women_pct,No_Insurance_Men_pct,Literacy_Women_pct,Secondary_Edu_Women_pct,Edu_Secondary_Women_pct,No_Education_Women_pct,Wife_Beating_Accept_pct,Adolescent_Fertility_Rate,Modern_Contraception_pct,Unmet_FP_Need_pct,HIV_Prev_Women_pct,HIV_Prev_Men_pct,HIV_Prev_Total_pct,LISA_Local_Morans_I,LISA_P_Value,LISA_Significant_Flag,LISA_Cluster_Type,Spatial_Unit_Note,Data_Source_HIV_Prevalence,Data_Source_Behavioural,Data_Source_Socioeconomic,Data_Source_Insurance,Data_Source_Education,Data_Source_Spatial_Boundaries
Ahafo,Asunafo North Municipal,Municipal,6.81509969999999,-2.67736640122449,26.1,42.0,26.32,14.24,46.82,59.28,151258,8.8,29.7,29.3,43.5,96.5,98.8,79.6,67.0,57.4,26.0,13.3,75.3,92.9,4.7,21.2,48.3,5.1,70.7,17.5,22.8,60.0,29.8,24.1,2.9,1.4,2.2,0.1947320885130008,0.084,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ahafo,Asunafo South,District,6.56280465,-2.53279356335542,26.2,42.7,28.89,47.5,43.51,62.41,91693,8.8,29.7,29.3,43.5,96.5,98.8,79.6,67.0,57.4,26.0,13.3,75.3,92.9,4.7,21.2,48.3,5.1,70.7,17.5,22.8,60.0,29.8,24.1,2.9,1.4,2.2,0.18347464704254382,0.13,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ahafo,Asutifi North,District,7.07651835,-2.52531850396715,26.6,43.1,25.55,17.3,48.59,58.29,73556,8.8,29.7,29.3,43.5,96.5,98.8,79.6,67.0,57.4,26.0,13.3,75.3,92.9,4.7,21.2,48.3,5.1,70.7,17.5,22.8,60.0,29.8,24.1,2.9,1.4,2.2,0.12437307932264474,0.251,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ahafo,Asutifi South,District,6.84924284999999,-2.46125343688365,23.2,42.4,29.26,21.67,49.12,62.46,67334,8.8,29.7,29.3,43.5,96.5,98.8,79.6,67.0,57.4,26.0,13.3,75.3,92.9,4.7,21.2,48.3,5.1,70.7,17.5,22.8,60.0,29.8,24.1,2.9,1.4,2.2,0.07009612937579857,0.339,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ahafo,Tano North Municipal,Municipal,7.19329065,-2.2080833699397,21.6,42.3,23.45,14.1,48.5,58.01,93838,8.8,29.7,29.3,43.5,96.5,98.8,79.6,67.0,57.4,26.0,13.3,75.3,92.9,4.7,21.2,48.3,5.1,70.7,17.5,22.8,60.0,29.8,24.1,2.9,1.4,2.2,0.08818844602474729,0.277,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ahafo,Tano South Municipal,Municipal,7.16093674999999,-1.99681708617696,23.7,42.6,27.91,20.45,47.42,62.19,86989,8.8,29.7,29.3,43.5,96.5,98.8,79.6,67.0,57.4,26.0,13.3,75.3,92.9,4.7,21.2,48.3,5.1,70.7,17.5,22.8,60.0,29.8,24.1,2.9,1.4,2.2,0.029388416915663976,0.486,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ashanti,Adansi Asokwa,District,6.2467263,-1.50841,32.4,43.3,28.26,50.15,48.11,62.99,71844,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,4.154558887721954e-05,0.425,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ashanti,Adansi North,District,6.3006124,-1.5897139446089,19.7,42.8,18.16,27.63,51.52,54.48,54155,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,4.154558887721954e-05,0.432,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ashanti,Adansi South,District,6.00427495,-1.39314032189093,35.0,43.2,27.07,46.09,45.03,62.6,85200,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,-0.00034423487926836364,0.5,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ashanti,Afigya Kwabre North,District,7.03891495,-1.62667127242319,25.2,43.7,23.98,30.12,51.79,70.24,73330,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,4.1545588877219546e-05,0.445,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
